Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,100000,32,20,9.525191835125844,0.009696768595410701,ms/op,0.10196139039690166,1.1412189976780745E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,100000,16,20,9.545680168488598,0.015709571133849673,ms/op,0.1043102882161064,4.120769500812883E-4,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,100000,19,20,9.822453406999802,0.01102678648378845,ms/op,0.10361732259818288,1.6748342578663304E-4,ops/ms
ForkJoinBenchmark.bench,100000,19,20,10.809412170415879,0.008437443682353428,ms/op,0.08860638688905266,1.3931119018638992E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100000,16,20,11.149973760534117,0.025275635919402382,ms/op,0.09115637309636182,2.0340395471586014E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100000,32,20,11.280533607927643,0.010445734445827269,ms/op,0.09132433638568592,1.1138428162875668E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,100000,8,20,12.34957599218398,0.04363564330774252,ms/op,0.08347989325828073,2.4722386796610684E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100000,8,20,13.180512476104246,0.03108593748095201,ms/op,0.07462392616052009,1.4369834450276469E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,100000,4,20,18.012749096002892,0.1029645460853955,ms/op,0.0564617830463644,4.128145044819443E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100000,4,20,20.426655541765786,0.10013038279193207,ms/op,0.05027128045895651,3.078968964571733E-4,ops/ms
ClassicStreamBenchmark.bench_sequential,100000,1,20,56.22715461321915,0.28468284171569636,ms/op,0.017246708136177534,8.357259664878541E-5,ops/ms
