Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_sequential, 100000,1,Throughput,20,0.017246708136177534,8.357259664878541E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 100000,4,Throughput,20,0.05027128045895651,3.078968964571733E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100000,4,Throughput,20,0.0564617830463644,4.128145044819443E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 100000,8,Throughput,20,0.07462392616052009,1.4369834450276469E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100000,8,Throughput,20,0.08347989325828073,2.4722386796610684E-4,ops/ms
ForkJoinBenchmark.bench, 100000,19,Throughput,20,0.08860638688905266,1.3931119018638992E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16, 100000,16,Throughput,20,0.09115637309636182,2.0340395471586014E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 100000,32,Throughput,20,0.09132433638568592,1.1138428162875668E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100000,32,Throughput,20,0.10196139039690166,1.1412189976780745E-4,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 100000,19,Throughput,20,0.10361732259818288,1.6748342578663304E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100000,16,Throughput,20,0.1043102882161064,4.120769500812883E-4,ops/ms
