Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,100000,8,20,32.70944485851216,0.047777763088639076,ms/op,0.030783970292135088,4.348919431786184E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,100000,32,20,32.78645451016125,0.035385034707862126,ms/op,0.029486109504176867,3.9178327156735333E-5,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,100000,7,20,32.899891956866675,0.08129334167821245,ms/op,0.030463064466499205,8.949606188001511E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,100000,16,20,33.62127975388166,0.036453487156101666,ms/op,0.02975666155920182,2.5849377819168434E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,100000,4,20,34.319750103273485,0.3169019786448036,ms/op,0.03003478836251053,3.3223890226288577E-4,ops/ms
ForkJoinBenchmark.bench,100000,7,20,36.04235013045213,0.05686774979519576,ms/op,0.027538028724354874,4.498487127166341E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100000,32,20,36.39020578823513,0.1931217486804104,ms/op,0.027173114335799615,4.135751968532696E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100000,16,20,36.551129697737466,0.0633599589001085,ms/op,0.027441033848054148,4.121495185763884E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100000,8,20,36.59512813392199,0.21810861187006872,ms/op,0.027618567328881478,3.618675033862964E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100000,4,20,42.947270894430794,0.3395012361230217,ms/op,0.023489125817715166,1.9504778108161305E-4,ops/ms
ClassicStreamBenchmark.bench_sequential,100000,1,20,110.40373997582417,0.16968675794193108,ms/op,0.008986993197554872,2.2194424466375427E-5,ops/ms
