Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_defaultParallelStream,10000,19,20,1.0008390556786328,0.0010787419412943095,ms/op,1.003202819451125,0.006767428581406314,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,10000,32,20,1.042589562413149,0.00597615817984164,ms/op,0.9476832435272972,0.0017713756564302218,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,10000,16,20,1.0634065221406128,0.0035916641424637314,ms/op,0.9346995171310596,0.00347249239111325,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,10000,16,20,1.1713939071593718,0.008466585222031895,ms/op,0.858650656894911,0.006780243371045223,ops/ms
ForkJoinBenchmark.bench,10000,19,20,1.1733901527358166,0.013823642604243881,ms/op,0.8705380362714905,0.012548220910735262,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,10000,32,20,1.2267944271700513,0.0020532814048806504,ms/op,0.8246774037771083,0.0018416054484050911,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,10000,8,20,1.3365139853635066,0.009007759692931884,ms/op,0.7624665998831367,0.004834607193042358,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,10000,8,20,1.4255691347391246,0.00569056949174042,ms/op,0.6951471376429654,0.0029532821486767244,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,10000,4,20,1.866186458012362,0.02816040382217663,ms/op,0.5276981095259821,0.006838696305637205,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,10000,4,20,2.329129891647601,0.013091714606255798,ms/op,0.42757724930779933,0.0030880213292000967,ops/ms
ClassicStreamBenchmark.bench_sequential,10000,1,20,5.794078811976266,0.03171845853022145,ms/op,0.17443369229550748,6.723397864124379E-4,ops/ms
