Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ForkJoinBenchmark.bench,100,19,20,0.03693829188934803,7.063169522239434E-5,ms/op,26.978442634096503,0.20766466535258357,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100,4,20,0.03728820230783974,4.5304147562390165E-4,ms/op,26.48385307360469,0.27816221937675367,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100,8,20,0.03775781332622531,1.8104892163983173E-4,ms/op,26.515515186224594,0.12764871652350815,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100,32,20,0.04215367092191571,8.188289442511557E-5,ms/op,23.890210707195983,0.08017322008521574,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100,16,20,0.04245834915917092,1.8981174246383094E-4,ms/op,23.69153768827679,0.1061779595663332,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000,16,20,0.1582038151919499,5.454865164440413E-4,ms/op,6.279911366421439,0.017617664644386775,ops/ms
ForkJoinBenchmark.bench,1000,19,20,0.158398213388692,1.225133297233402E-4,ms/op,6.273214435998273,0.008089908396272216,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000,32,20,0.1741182954954799,2.2756774753518599E-4,ms/op,5.751595996477827,0.005983760584331895,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000,8,20,0.17976632289722294,0.0012462478787357441,ms/op,5.690083247264058,0.030747867056001923,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000,4,20,0.2208114445954926,0.0015118445942889096,ms/op,4.335040403765598,0.028796555078735235,ops/ms
ForkJoinBenchmark.bench,10000,19,20,1.1242512922666805,0.0013014077826564545,ms/op,0.8833446774121001,0.001305249624766266,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,10000,16,20,1.1524616513731691,0.006486034112038493,ms/op,0.8772300270546125,0.005593919487612471,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,10000,32,20,1.2012616153481936,0.001575276712885813,ms/op,0.8537920045191797,0.001599953573532109,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,10000,8,20,1.4308614781123992,0.007286619659462037,ms/op,0.6982362864696787,0.0043155214184377524,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,10000,4,20,2.1351182323135647,0.010176869790757798,ms/op,0.449039306069848,0.0017948118699456462,ops/ms
ForkJoinBenchmark.bench,100000,19,20,10.874218600260589,0.012180058479859575,ms/op,0.08734082424250697,1.6692058651421448E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100000,16,20,10.999751366079241,0.028053019422646264,ms/op,0.09033305215197134,1.323141281836201E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100000,32,20,11.051832509369165,0.012018603354249835,ms/op,0.08875749625603958,2.0686679733792105E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100000,8,20,13.149546732401134,0.024018414790774722,ms/op,0.07866094272640822,1.4007589838996862E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100000,4,20,18.90738989806732,0.0507528810299373,ms/op,0.05433391224026557,1.5712519953568253E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000000,16,20,103.74553335750645,0.21437895794047235,ms/op,0.0096960519115771,2.2887281968252888E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000000,32,20,104.55901240937501,0.07556461128051548,ms/op,0.009673231990697272,7.292458811165114E-6,ops/ms
ForkJoinBenchmark.bench,1000000,19,20,105.23637369974233,0.11806605056725052,ms/op,0.009673138576743238,1.3992195132568145E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000000,8,20,123.85953248058566,0.2815913885087715,ms/op,0.008196778681562879,2.6696275974952766E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000000,4,20,190.10223791320752,0.5099919379049169,ms/op,0.0053624479628498695,1.611020409952586E-5,ops/ms
