Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,1000000,8,20,321.06054312187496,0.6401634428487498,ms/op,0.00315698105293441,8.953295210993995E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,1000000,32,20,323.0306728641634,0.3447908390795666,ms/op,0.0032527076934339753,5.5074035099390655E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,1000000,4,20,323.61620092413983,4.88280824087614,ms/op,0.002871777648934752,4.06896221669096E-5,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,1000000,7,20,325.34972558586014,2.8487963349600296,ms/op,0.0031479324060852167,7.638629556478755E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,1000000,16,20,325.47626094354837,0.7586754480269481,ms/op,0.0030462296931650524,5.8786370512597475E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000000,16,20,354.2797621258621,0.4374831345131744,ms/op,0.0027735820906034966,2.6087265313813193E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000000,8,20,358.39981468571426,0.41748100131194543,ms/op,0.00274263644703779,3.7053814726191907E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000000,32,20,358.8033444124999,0.4681149719475213,ms/op,0.002813684775706674,1.7366701979984103E-5,ops/ms
ForkJoinBenchmark.bench,1000000,7,20,361.58519208214284,0.2412887545674442,ms/op,0.002719996419899275,2.98289683314737E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000000,4,20,379.0243617109686,3.7554758881570995,ms/op,0.002659931999404018,1.8267021896893325E-5,ops/ms
ClassicStreamBenchmark.bench_sequential,1000000,1,20,1121.7522121611112,1.1122755605688175,ms/op,8.544523245812072E-4,1.1103520192547736E-6,ops/ms
