Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_sequential, 1000000,1,Throughput,20,8.544523245812072E-4,1.1103520192547736E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 1000000,4,Throughput,20,0.002659931999404018,1.8267021896893325E-5,ops/ms
ForkJoinBenchmark.bench, 1000000,7,Throughput,20,0.002719996419899275,2.98289683314737E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 1000000,8,Throughput,20,0.00274263644703779,3.7053814726191907E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16, 1000000,16,Throughput,20,0.0027735820906034966,2.6087265313813193E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 1000000,32,Throughput,20,0.002813684775706674,1.7366701979984103E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000000,4,Throughput,20,0.002871777648934752,4.06896221669096E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000000,16,Throughput,20,0.0030462296931650524,5.8786370512597475E-6,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000000,7,Throughput,20,0.0031479324060852167,7.638629556478755E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000000,8,Throughput,20,0.00315698105293441,8.953295210993995E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000000,32,Throughput,20,0.0032527076934339753,5.5074035099390655E-6,ops/ms
