Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,1000000,16,20,88.43938209817964,0.15692984274778765,ms/op,0.011160492032458997,2.032152951628436E-5,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,1000000,19,20,90.24730565030967,0.13597810248038486,ms/op,0.011111794597923334,9.257989750273589E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,1000000,32,20,93.13899111421772,0.14980306433391144,ms/op,0.010830395996917448,1.7083396061515506E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000000,32,20,102.48617214030612,0.1027697700595074,ms/op,0.009401796577526149,8.304548715651543E-6,ops/ms
ForkJoinBenchmark.bench,1000000,19,20,104.92866087239584,0.09901832068188839,ms/op,0.00969355563501918,7.751495344037658E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000000,16,20,105.38299001033992,0.2477582423113498,ms/op,0.009705192325975111,4.07376466368646E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,1000000,8,20,116.96817640290696,0.13575504503564242,ms/op,0.008011751482141857,2.5479705047206413E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000000,8,20,121.52372816231264,0.43906911720142955,ms/op,0.00817988484902726,2.836590345918242E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,1000000,4,20,171.7422634221654,0.9086095546430458,ms/op,0.005786825286877957,5.456013900579746E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000000,4,20,180.92457638892856,0.6031245719486028,ms/op,0.005140053088190948,2.063345095343529E-5,ops/ms
ClassicStreamBenchmark.bench_sequential,1000000,1,20,560.8557693896199,1.7037937119761883,ms/op,0.0017853151184916657,1.0378062545339131E-5,ops/ms
