Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_defaultParallelStream,10000,7,20,3.3005814400733953,0.005495967514080415,ms/op,0.29457017419031006,0.006924407608631641,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,10000,16,20,3.5848291107116266,0.008445329036032219,ms/op,0.2687169411520024,0.002099598024661459,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,10000,8,20,3.629068902001292,0.010930712965136057,ms/op,0.2717454093707794,0.004953594510949495,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,10000,4,20,3.7583408342401947,0.03147003871797541,ms/op,0.2606614375115426,0.0026844262692596182,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,10000,32,20,3.8180516712825536,0.02592127974522738,ms/op,0.2650209018891026,5.035741143545034E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,10000,16,20,3.9504351096362833,0.009374251685082224,ms/op,0.24990757034872274,6.411093894545594E-4,ops/ms
ForkJoinBenchmark.bench,10000,7,20,3.9601009837454817,0.003884537392180575,ms/op,0.24631857965979448,4.457027366711875E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,10000,32,20,3.979714471413118,0.01055916836856391,ms/op,0.2521277313258898,7.280070931606465E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,10000,8,20,4.028367973151366,0.004943697332189436,ms/op,0.23616946427486937,0.012509126556819386,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,10000,4,20,4.854652687776445,0.018404803764223134,ms/op,0.20382978967337295,8.380089402975288E-4,ops/ms
ClassicStreamBenchmark.bench_sequential,10000,1,20,11.601978582994771,0.01667942831335641,ms/op,0.09106459659012764,1.8027008415313472E-4,ops/ms
