Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_sequential, 1000000,1,Throughput,20,0.0017856222604604466,5.285179883678936E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000000,4,Throughput,20,0.005863922954853504,1.2860634943940201E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000000,8,Throughput,20,0.008803018929174749,7.75388602662461E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000000,32,Throughput,20,0.011019172737936926,1.5707638526836952E-5,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000000,19,Throughput,20,0.011046263312688324,4.8127689620877156E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000000,16,Throughput,20,0.01144396929208678,3.5568124308683615E-5,ops/ms
ClassicStreamBenchmark.bench_sequential, 100000,1,Throughput,20,0.01797871899950924,6.435169099513788E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100000,4,Throughput,20,0.057272392859891996,1.6635840490320037E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100000,8,Throughput,20,0.08309443162282665,1.0329951399368812E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100000,16,Throughput,20,0.10545845443899948,4.495608892744904E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100000,32,Throughput,20,0.1064530387157993,1.0699429244689358E-4,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 100000,19,Throughput,20,0.10839776498013205,1.1087179629156464E-4,ops/ms
ClassicStreamBenchmark.bench_sequential, 10000,1,Throughput,20,0.1781318461871656,4.491679371301342E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 10000,4,Throughput,20,0.5576229246972639,0.007285077665254185,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 10000,8,Throughput,20,0.7484190889877346,0.0036795779800130163,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 10000,16,Throughput,20,0.9537961799396811,0.0025690977548562164,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 10000,32,Throughput,20,0.9824473372442523,0.001982670940808747,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 10000,19,Throughput,20,1.0075995581763373,0.002269792840412043,ops/ms
ClassicStreamBenchmark.bench_sequential, 1000,1,Throughput,20,1.829387267852073,0.005406172742687351,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000,4,Throughput,20,5.2595248440211,0.01877511758451464,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000,8,Throughput,20,6.931624981092537,0.02635903875972642,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000,32,Throughput,20,7.250643397304465,0.01423096437723483,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000,16,Throughput,20,7.426737587270358,0.027470008734590566,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000,19,Throughput,20,7.901202259236681,0.0076914448030037715,ops/ms
ClassicStreamBenchmark.bench_sequential, 100,1,Throughput,20,18.194704975285838,0.06055817262147975,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100,32,Throughput,20,24.267450603791946,0.03268401113522509,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100,16,Throughput,20,24.49431994924189,0.20717282581980326,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 100,19,Throughput,20,28.926813156466256,0.34774071597616213,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100,8,Throughput,20,30.372992293766707,0.20232088479729493,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100,4,Throughput,20,30.682021998326093,0.329273596760073,ops/ms
