Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,100,4,20,0.0325915150812148,3.222574645021899E-4,ms/op,30.682021998326093,0.329273596760073,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,100,8,20,0.03274318183243627,1.9108372668042836E-4,ms/op,30.372992293766707,0.20232088479729493,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,100,19,20,0.034628458094793,3.712398080748289E-4,ms/op,28.926813156466256,0.34774071597616213,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,100,16,20,0.04079449388395108,3.8777215149988294E-4,ms/op,24.49431994924189,0.20717282581980326,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,100,32,20,0.04156569236512913,4.7102134568693086E-5,ms/op,24.267450603791946,0.03268401113522509,ops/ms
ClassicStreamBenchmark.bench_sequential,100,1,20,0.055894878740494036,2.3499230746444478E-4,ms/op,18.194704975285838,0.06055817262147975,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,1000,19,20,0.127951259172531,1.6769549471043713E-4,ms/op,7.901202259236681,0.0076914448030037715,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,1000,16,20,0.12936246420553524,2.707464036102536E-4,ms/op,7.426737587270358,0.027470008734590566,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,1000,32,20,0.14224815662969476,1.7651152739539224E-4,ms/op,7.250643397304465,0.01423096437723483,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,1000,8,20,0.1443626869966633,8.186930404828223E-4,ms/op,6.931624981092537,0.02635903875972642,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,1000,4,20,0.18920510031822907,6.63202114602372E-4,ms/op,5.2595248440211,0.01877511758451464,ops/ms
ClassicStreamBenchmark.bench_sequential,1000,1,20,0.551939671653328,0.0025314679572373843,ms/op,1.829387267852073,0.005406172742687351,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,10000,19,20,0.9973468136600457,0.001596407180602127,ms/op,1.0075995581763373,0.002269792840412043,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,10000,32,20,1.027371309137369,0.0017813312178317398,ms/op,0.9824473372442523,0.001982670940808747,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,10000,16,20,1.0432827334725085,0.0036466771266264308,ms/op,0.9537961799396811,0.0025690977548562164,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,10000,8,20,1.2909803017237005,0.008495664595565895,ms/op,0.7484190889877346,0.0036795779800130163,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,10000,4,20,1.7544460183347197,0.024405002901731393,ms/op,0.5576229246972639,0.007285077665254185,ops/ms
ClassicStreamBenchmark.bench_sequential,10000,1,20,5.384096350303663,0.019881639781585612,ms/op,0.1781318461871656,4.491679371301342E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,100000,16,20,9.209395042008849,0.010204106063670873,ms/op,0.10545845443899948,4.495608892744904E-4,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,100000,19,20,9.411342133841774,0.008323448453088484,ms/op,0.10839776498013205,1.1087179629156464E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,100000,32,20,9.72724371268688,0.012528214365687003,ms/op,0.1064530387157993,1.0699429244689358E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,100000,8,20,11.774881556473735,0.013384480603498953,ms/op,0.08309443162282665,1.0329951399368812E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,100000,4,20,16.512789725624454,0.04179369606878242,ms/op,0.057272392859891996,1.6635840490320037E-4,ops/ms
ClassicStreamBenchmark.bench_sequential,100000,1,20,58.3745710661801,0.2712927962531487,ms/op,0.01797871899950924,6.435169099513788E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,1000000,16,20,87.65399976951565,0.11019702100412772,ms/op,0.01144396929208678,3.5568124308683615E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,1000000,32,20,91.78338942120934,0.08871811872995328,ms/op,0.011019172737936926,1.5707638526836952E-5,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,1000000,19,20,92.49411612299949,0.15108788509581694,ms/op,0.011046263312688324,4.8127689620877156E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,1000000,8,20,112.7199051258427,0.08389016004399083,ms/op,0.008803018929174749,7.75388602662461E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,1000000,4,20,167.62029487259562,0.6139656462667098,ms/op,0.005863922954853504,1.2860634943940201E-5,ops/ms
ClassicStreamBenchmark.bench_sequential,1000000,1,20,581.4552360083333,2.503620097989176,ms/op,0.0017856222604604466,5.285179883678936E-6,ops/ms
