Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_defaultParallelStream,1000,19,20,0.12538242919904413,2.5861882278197125E-4,ms/op,7.909432360864173,0.09275116579409731,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,1000,16,20,0.13246848739329922,5.282493621908282E-4,ms/op,7.556401775931059,0.13770440529165337,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,1000,32,20,0.14088369512721527,1.0580912274868982E-4,ms/op,7.2248597549553555,0.009526528627784778,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,1000,8,20,0.145539917860958,5.730702266694917E-4,ms/op,6.829821221632555,0.024290234206547124,ops/ms
ForkJoinBenchmark.bench,1000,19,20,0.15651986036619597,5.314982271169526E-4,ms/op,6.251388093208744,0.050375471751430284,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000,16,20,0.16002445849335362,4.709671377754669E-4,ms/op,6.16108897227201,0.013680557157294455,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000,32,20,0.17371069731134675,2.0349623293347896E-4,ms/op,5.762260869675299,0.007941585475561539,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000,8,20,0.1795952169061895,0.0010625882428164496,ms/op,5.665480554236815,0.034540148561362456,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,1000,4,20,0.19203117192671032,7.198026540235626E-4,ms/op,5.092023009385867,0.02349724736412347,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000,4,20,0.22869465189162375,0.0011094090773535541,ms/op,4.3042360064804335,0.021098463733598614,ops/ms
ClassicStreamBenchmark.bench_sequential,1000,1,20,0.5527915877285923,0.0022701035947352466,ms/op,1.791565366257716,0.007974143730333848,ops/ms
