Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ForkJoinBenchmark.bench,100,7,20,0.07982725253628796,8.754284106785887E-5,ms/op,12.195244888074287,0.06731174419001326,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100,8,20,0.09028133723793981,7.061205581581225E-5,ms/op,10.857179778108586,0.008879874084620982,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100,32,20,0.09211916351055863,7.805498283154332E-5,ms/op,10.867298028405305,0.015303035317547677,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100,16,20,0.09266741759143075,1.0160791966625365E-4,ms/op,11.014640230231857,0.01146800011208393,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100,4,20,0.1075482344674306,7.622478275943765E-4,ms/op,9.686094823617692,0.06499919706404454,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000,8,20,0.46714268794518327,0.0024538530893683476,ms/op,2.197759629882198,0.010439958178938209,ops/ms
ForkJoinBenchmark.bench,1000,7,20,0.48067743170242244,0.0035216527928353166,ms/op,2.141389751339202,0.004109913009934882,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000,16,20,0.4817517289811025,0.0010268479184444806,ms/op,2.115747727547836,0.003304102137313336,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000,32,20,0.5539455847272349,0.003466298058134736,ms/op,1.8012063970649337,0.024279011945989623,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000,4,20,0.5807921479916446,0.002134502554302585,ms/op,1.6758689772868212,0.0064979445802732,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,10000,16,20,3.842316387950291,0.015818522752851158,ms/op,0.2616803388205303,8.153959799477976E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,10000,8,20,3.995770979114249,0.007647710622654894,ms/op,0.2504659018604535,2.650607125579994E-4,ops/ms
ForkJoinBenchmark.bench,10000,7,20,4.064702837468684,0.005639860274321618,ms/op,0.24582331643062266,0.0026576218848964436,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,10000,32,20,4.075139643630421,0.009613421445014928,ms/op,0.24889248302999575,5.937722224766082E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,10000,4,20,4.896047226725805,0.024612911031498562,ms/op,0.20234920569651105,9.086918235250215E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100000,16,20,35.47845230766478,0.05171771635442866,ms/op,0.027519596483490876,5.112314998291483E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100000,32,20,35.97891547879613,0.06404111987856431,ms/op,0.027453702255051483,5.763078724023975E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100000,8,20,36.119084237847204,0.058560526133224176,ms/op,0.027254726510610994,3.8874290812522576E-5,ops/ms
ForkJoinBenchmark.bench,100000,7,20,36.50379941704986,0.19063164551743003,ms/op,0.02787680433149257,4.4644690811098736E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100000,4,20,43.27232793712842,0.29131522814000355,ms/op,0.023386328246395333,1.5709872585817147E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000000,16,20,339.42900056833327,0.5595139899928961,ms/op,0.0027881462924438122,6.807254744483384E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000000,32,20,348.023538175862,0.3145504383374977,ms/op,0.0027945694903871183,3.6038298870953698E-6,ops/ms
ForkJoinBenchmark.bench,1000000,7,20,356.38434929390394,0.4717664356914543,ms/op,0.002759790703950636,3.639479779003041E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000000,8,20,365.31608722499993,0.520158662872049,ms/op,0.002786341028917283,3.0031225442641207E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000000,4,20,382.7628241997151,2.3060257148287224,ms/op,0.002614722291315058,2.0695852283286915E-5,ops/ms
