Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_defaultParallelStream,100,7,20,0.06615200252301245,4.264455689409618E-5,ms/op,14.663269881037966,0.011926925178039827,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,100,8,20,0.0774369771002374,6.333835330487147E-5,ms/op,13.087432581698668,0.010355570701155186,ops/ms
ForkJoinBenchmark.bench,100,7,20,0.08176476248791713,6.119106590414418E-5,ms/op,12.17554544365004,0.010953294688309278,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,100,4,20,0.08253887579446759,9.271269905221058E-4,ms/op,12.151729029286287,0.1370971072969418,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,100,16,20,0.08396685458591642,2.141353634429905E-4,ms/op,11.83966091875302,0.22644507531383265,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100,8,20,0.09147660907420571,1.4326135040710708E-4,ms/op,10.995217457409684,0.06462574340300326,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100,16,20,0.09215668506176192,5.642881215335364E-5,ms/op,10.608242345438917,0.015127368160583776,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100,32,20,0.09424558633897126,8.347537538788116E-5,ms/op,10.468070210985621,0.006882685238484246,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100,4,20,0.10243119359029755,6.500003080774976E-4,ms/op,9.419115102291975,0.09423992982787341,ops/ms
ClassicStreamBenchmark.bench_sequential,100,1,20,0.11069753984769244,1.5475530632788915E-4,ms/op,9.089995744164066,0.011804116268650132,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,100,32,20,0.23338603910486283,0.0076775282153151315,ms/op,4.237077292430877,0.12171468605715619,ops/ms
