Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_sequential, 1000,1,Throughput,20,0.8812260224686209,8.691021086647326E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 1000,4,Throughput,20,1.6901810447577694,0.006543658786492519,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 1000,32,Throughput,20,1.8070675961405578,0.012948660026899848,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000,32,Throughput,20,1.9933022946504633,0.011609482967808898,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16, 1000,16,Throughput,20,2.0745655557923555,0.0034413471687161834,ops/ms
ForkJoinBenchmark.bench, 1000,7,Throughput,20,2.1429024357326285,0.013399196504629065,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 1000,8,Throughput,20,2.1456205827880916,0.009765148127971938,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000,4,Throughput,20,2.217372951128231,0.02948869727677547,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000,16,Throughput,20,2.3572239897147425,0.015785981654369147,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000,8,Throughput,20,2.4178356335739566,0.002441893145257446,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000,7,Throughput,20,2.578699653510164,0.004450981112373393,ops/ms
