Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000,8,Throughput,20,2.3671961810772464,0.007421830373459329,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000,16,Throughput,20,2.376985048458158,0.006219789109921156,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000,7,Throughput,20,2.576927281679141,0.03681265251092363,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100,32,Throughput,20,4.275041289514286,0.09412087315199492,ops/ms
ClassicStreamBenchmark.bench_sequential, 100,1,Throughput,20,8.767766552506302,0.011445536790365033,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 100,4,Throughput,20,9.277229338019469,0.0828250347828421,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 100,32,Throughput,20,10.573342545954727,0.0066211406901247076,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16, 100,16,Throughput,20,10.687388521734665,0.006339885470245052,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 100,8,Throughput,20,11.127478786392139,0.020029380062770104,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100,16,Throughput,20,12.074006079907083,0.02421379147817958,ops/ms
ForkJoinBenchmark.bench, 100,7,Throughput,20,12.11379329573099,0.012117892333181283,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100,4,Throughput,20,12.121898779940853,0.12427378112331997,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100,8,Throughput,20,12.827001245719199,0.00875556940166298,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 100,7,Throughput,20,14.872609352640723,0.05128819791825737,ops/ms
