Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100,4,AverageTime,20,0.031024928542735586,2.6947948487288136E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100,8,AverageTime,20,0.03216334232912037,2.7326222833948607E-4,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 100,19,AverageTime,20,0.034880851597332035,3.282897539422237E-5,ms/op
ForkJoinBenchmark.bench, 100,19,AverageTime,20,0.03670371910774033,1.14374377030462E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_8, 100,8,AverageTime,20,0.037459746159252974,1.5812898065544368E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_4, 100,4,AverageTime,20,0.03792875165283675,4.2194861916378085E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100,16,AverageTime,20,0.03979274039366634,2.88210940991462E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_16, 100,16,AverageTime,20,0.04118726883463701,1.7829739180782886E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_32, 100,32,AverageTime,20,0.041345071000255446,1.0604847132517501E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100,32,AverageTime,20,0.04171838959327351,5.390076057197613E-5,ms/op
ClassicStreamBenchmark.bench_sequential, 100,1,AverageTime,20,0.05586875618902132,1.2039455101067554E-4,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 1000,19,AverageTime,20,0.1286378714342376,1.4373935793475967E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000,16,AverageTime,20,0.13038841696357475,4.237986642793439E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000,32,AverageTime,20,0.14280924516989912,2.0816302533663574E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000,8,AverageTime,20,0.14629855651361887,8.437821793472368E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_16, 1000,16,AverageTime,20,0.15584143965958006,2.790521484862012E-4,ms/op
ForkJoinBenchmark.bench, 1000,19,AverageTime,20,0.15725337935615824,1.3650798433883162E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_32, 1000,32,AverageTime,20,0.1728643326030827,2.40352887310299E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_8, 1000,8,AverageTime,20,0.17672103935197025,0.001332668776805601,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000,4,AverageTime,20,0.18676629958792296,6.093679938448713E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_4, 1000,4,AverageTime,20,0.22437852445324183,0.0017282056564496542,ms/op
ClassicStreamBenchmark.bench_sequential, 1000,1,AverageTime,20,0.5638832527054711,0.0016670409084735267,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 10000,19,AverageTime,20,0.9679729890145415,0.0013873366034116775,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 10000,32,AverageTime,20,1.004093198195975,0.0012661113065087486,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 10000,16,AverageTime,20,1.0093487677561295,0.0032748000288939406,ms/op
ForkJoinBenchmark.bench, 10000,19,AverageTime,20,1.1248333801230082,9.32496482389187E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_16, 10000,16,AverageTime,20,1.1445052734442265,0.006733839689050863,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_32, 10000,32,AverageTime,20,1.185947746369061,8.5558212634512E-4,ms/op
