Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_defaultParallelStream,1000,19,20,0.1286378714342376,1.4373935793475967E-4,ms/op,7.803324233678485,0.045485280688369344,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,1000,16,20,0.13038841696357475,4.237986642793439E-4,ms/op,7.709404172167997,0.0345465980786132,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,1000,32,20,0.14280924516989912,2.0816302533663574E-4,ms/op,7.391974676899169,0.01517833119536837,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,1000,8,20,0.14629855651361887,8.437821793472368E-4,ms/op,6.883013201291123,0.032889489887969754,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,1000,16,20,0.15584143965958006,2.790521484862012E-4,ms/op,6.331562188663631,0.016681141543365766,ops/ms
ForkJoinBenchmark.bench,1000,19,20,0.15725337935615824,1.3650798433883162E-4,ms/op,6.3494391537252435,0.005332326221749582,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,1000,32,20,0.1728643326030827,2.40352887310299E-4,ms/op,5.686676639579498,0.007934778773368836,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,1000,8,20,0.17672103935197025,0.001332668776805601,ms/op,5.8239277690244595,0.04495637356947349,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,1000,4,20,0.18676629958792296,6.093679938448713E-4,ms/op,5.212333245787975,0.02078537389313762,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,1000,4,20,0.22437852445324183,0.0017282056564496542,ms/op,4.446577284103504,0.0287681283122658,ops/ms
ClassicStreamBenchmark.bench_sequential,1000,1,20,0.5638832527054711,0.0016670409084735267,ms/op,1.8447016337477862,0.0042287348525697445,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,10000,19,20,0.9679729890145415,0.0013873366034116775,ms/op,0.9892913283112584,0.0213707240856498,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,10000,32,20,1.004093198195975,0.0012661113065087486,ms/op,1.0069272557484592,0.001355433042660464,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,10000,16,20,1.0093487677561295,0.0032748000288939406,ms/op,0.9540883152908897,0.0028429636916833803,ops/ms
ForkJoinBenchmark.bench,10000,19,20,1.1248333801230082,9.32496482389187E-4,ms/op,0.8710458135812289,0.0012298535435109365,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,10000,16,20,1.1445052734442265,0.006733839689050863,ms/op,0.8767577599722373,0.005491252017135104,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,10000,32,20,1.185947746369061,8.5558212634512E-4,ms/op,0.8551250065474909,0.0010208218816015323,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,10000,8,20,1.3157002285118722,0.00663165303390686,ms/op,0.7568744581453487,0.005043684456409288,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,10000,8,20,1.4013314844532583,0.008548573054056057,ms/op,0.7117908638762382,0.004305767324063951,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,10000,4,20,1.7176840354981,0.02330378778034676,ms/op,0.5760570747823954,0.0055332039998604865,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,10000,4,20,2.220363554733385,0.011857796585219054,ms/op,0.4459061830954513,0.002812797691100108,ops/ms
ClassicStreamBenchmark.bench_sequential,10000,1,20,5.718486907374116,0.014670895554887283,ms/op,0.18266767493384237,5.53638815922017E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,100000,16,20,9.05304711349573,0.02409408333366244,ms/op,0.1066495930974775,1.573385521504391E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,100000,32,20,9.731066392360042,0.019360379804392595,ms/op,0.10658395700719421,3.32646463024756E-4,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,100000,19,20,9.790560043474448,0.01601875591734671,ms/op,0.10294521633815631,4.6221395464159597E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100000,32,20,10.735569858373792,0.013306530458720201,ms/op,0.09126568432506602,1.1178348972088153E-4,ops/ms
ForkJoinBenchmark.bench,100000,19,20,11.128067385457365,0.01587367166796842,ms/op,0.09251683041952263,2.1082310822461404E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100000,16,20,11.277302101532976,0.015295365242098699,ms/op,0.09207773481116215,1.757210053408425E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,100000,8,20,11.733590642010636,0.017772855863622858,ms/op,0.08439023691265168,1.5407610845390241E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100000,8,20,13.001313617871944,0.019489164970961724,ms/op,0.07762734608094898,1.0800759453425706E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,100000,4,20,16.708344487778955,0.050519955864956986,ms/op,0.060079660689573135,1.9408826781425095E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100000,4,20,18.538032999664406,0.06912375237982706,ms/op,0.05301916870475237,1.771716294557613E-4,ops/ms
ClassicStreamBenchmark.bench_sequential,100000,1,20,55.62243550035041,0.13728179050068354,ms/op,0.01768006642414157,4.4558244891819045E-5,ops/ms
