Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_sequential, 1000000,1,Throughput,20,0.0018065423481550976,5.661547932812766E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 1000000,4,Throughput,20,0.0054006222965397675,1.668722304296614E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000000,4,Throughput,20,0.006117349396197226,3.6118897369176616E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 1000000,8,Throughput,20,0.008519176373487421,3.081935560718434E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000000,8,Throughput,20,0.008659908392474396,8.76670634987149E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 1000000,32,Throughput,20,0.009492830161002526,1.577743655847442E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16, 1000000,16,Throughput,20,0.009753961995346663,2.3240946830584695E-5,ops/ms
ForkJoinBenchmark.bench, 1000000,19,Throughput,20,0.009864133669943327,1.2493780701182828E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000000,32,Throughput,20,0.0110976192197576,1.268007686718378E-5,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000000,19,Throughput,20,0.011211934335734959,2.374018597921201E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000000,16,Throughput,20,0.011298972873329803,2.2447853910673867E-5,ops/ms
ClassicStreamBenchmark.bench_sequential, 100000,1,Throughput,20,0.01768006642414157,4.4558244891819045E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 100000,4,Throughput,20,0.05301916870475237,1.771716294557613E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100000,4,Throughput,20,0.060079660689573135,1.9408826781425095E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 100000,8,Throughput,20,0.07762734608094898,1.0800759453425706E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100000,8,Throughput,20,0.08439023691265168,1.5407610845390241E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 100000,32,Throughput,20,0.09126568432506602,1.1178348972088153E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16, 100000,16,Throughput,20,0.09207773481116215,1.757210053408425E-4,ops/ms
ForkJoinBenchmark.bench, 100000,19,Throughput,20,0.09251683041952263,2.1082310822461404E-4,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 100000,19,Throughput,20,0.10294521633815631,4.6221395464159597E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100000,32,Throughput,20,0.10658395700719421,3.32646463024756E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100000,16,Throughput,20,0.1066495930974775,1.573385521504391E-4,ops/ms
ClassicStreamBenchmark.bench_sequential, 10000,1,Throughput,20,0.18266767493384237,5.53638815922017E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 10000,4,Throughput,20,0.4459061830954513,0.002812797691100108,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 10000,4,Throughput,20,0.5760570747823954,0.0055332039998604865,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 10000,8,Throughput,20,0.7117908638762382,0.004305767324063951,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 10000,8,Throughput,20,0.7568744581453487,0.005043684456409288,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 10000,32,Throughput,20,0.8551250065474909,0.0010208218816015323,ops/ms
ForkJoinBenchmark.bench, 10000,19,Throughput,20,0.8710458135812289,0.0012298535435109365,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16, 10000,16,Throughput,20,0.8767577599722373,0.005491252017135104,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 10000,16,Throughput,20,0.9540883152908897,0.0028429636916833803,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 10000,19,Throughput,20,0.9892913283112584,0.0213707240856498,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 10000,32,Throughput,20,1.0069272557484592,0.001355433042660464,ops/ms
ClassicStreamBenchmark.bench_sequential, 1000,1,Throughput,20,1.8447016337477862,0.0042287348525697445,ops/ms
